time_ms,balance,unrealized_pnl,equity
1649462400000,477.8826451937925,0.0,477.8826451937925
1649476800000,477.8826451937925,0.0,477.8826451937925
1649491200000,477.8826451937925,0.0,477.8826451937925
1649505600000,477.8826451937925,0.0,477.8826451937925
1649520000000,477.8826451937925,0.0,477.8826451937925
1649534400000,477.8826451937925,-1.6701476878430532,476.21249750594944
1649548800000,477.8826451937925,-1.8308412658226096,476.0518039279699
1649563200000,477.8826451937925,-1.0459149426147771,476.8367302511777
1649577600000,477.8826451937925,-1.2869553095841115,476.59568988420835
1649592000000,477.8826451937925,-1.6763282100730361,476.20631698371943
1649606400000,477.8826451937925,-4.599715224854964,473.28292996893754
1649620800000,477.8826451937925,1.9732701667318853,479.85591536052436
1649635200000,479.3721493210057,1.4526741484686225,480.8248234694743
1649649600000,480.4648698548001,0.0,480.4648698548001
1649664000000,483.5653406798301,5.1094643214297975,488.6748050012599
1649678400000,486.0967095700782,4.2300623710337435,490.32677194111193
1649692800000,486.0967095700782,4.199517151249487,490.2962267213277
1649707200000,486.0967095700782,4.8006470766036555,490.8973566466818
1649721600000,490.7794276621388,0.0,490.7794276621388
1649736000000,490.7794276621388,0.0,490.7794276621388
1649750400000,490.7794276621388,0.0,490.7794276621388
1649764800000,490.7794276621388,0.0,490.7794276621388
1649779200000,490.7794276621388,0.0,490.7794276621388
1649793600000,490.7794276621388,0.0,490.7794276621388
1649808000000,490.7794276621388,-2.356039253418385,488.4233884087204
1649822400000,490.7794276621388,-2.9203785692951447,487.85904909284363
1649836800000,490.7794276621388,2.9534008242340457,493.73282848637285
1649851200000,476.69723472556313,0.0,476.69723472556313
1649865600000,476.69723472556313,0.0,476.69723472556313
1649880000000,476.69723472556313,0.0,476.69723472556313
1649894400000,476.69723472556313,0.0,476.69723472556313
1649908800000,476.69723472556313,0.0,476.69723472556313
1649923200000,476.69723472556313,0.0,476.69723472556313
1649937600000,476.69723472556313,0.0,476.69723472556313
1649952000000,476.69723472556313,0.0,476.69723472556313
1649966400000,476.69723472556313,0.0,476.69723472556313
1649980800000,476.69723472556313,0.0,476.69723472556313
1649995200000,476.69723472556313,0.0,476.69723472556313
1650009600000,476.69723472556313,0.0,476.69723472556313
1650024000000,476.69723472556313,0.0,476.69723472556313
1650038400000,476.69723472556313,0.0,476.69723472556313
1650052800000,476.69723472556313,0.0,476.69723472556313
1650067200000,476.69723472556313,0.0,476.69723472556313
1650081600000,476.69723472556313,0.0,476.69723472556313
1650096000000,476.69723472556313,0.0,476.69723472556313
1650110400000,476.69723472556313,0.0,476.69723472556313
1650124800000,476.69723472556313,0.0,476.69723472556313
1650139200000,476.69723472556313,0.0,476.69723472556313
1650153600000,476.69723472556313,0.0,476.69723472556313
1650168000000,476.69723472556313,0.0,476.69723472556313
1650182400000,476.69723472556313,0.0,476.69723472556313
1650196800000,476.69723472556313,0.0,476.69723472556313
1650211200000,476.69723472556313,0.0,476.69723472556313
1650225600000,476.69723472556313,0.0,476.69723472556313
1650240000000,476.69723472556313,0.0,476.69723472556313
1650254400000,476.69723472556313,0.0,476.69723472556313
1650268800000,476.69723472556313,0.0,476.69723472556313
1650283200000,476.69723472556313,0.0,476.69723472556313
1650297600000,476.69723472556313,0.0,476.69723472556313
1650312000000,476.69723472556313,0.0,476.69723472556313
1650326400000,476.69723472556313,0.0,476.69723472556313
1650340800000,476.69723472556313,0.0,476.69723472556313
1650355200000,476.69723472556313,0.0,476.69723472556313
1650369600000,476.69723472556313,0.0,476.69723472556313
1650384000000,476.69723472556313,0.0,476.69723472556313
1650398400000,476.69723472556313,0.0,476.69723472556313
1650412800000,476.69723472556313,0.0,476.69723472556313
1650427200000,476.69723472556313,0.0,476.69723472556313
1650441600000,476.69723472556313,0.0,476.69723472556313
1650456000000,476.69723472556313,0.0,476.69723472556313
1650470400000,476.69723472556313,0.0,476.69723472556313
1650484800000,476.69723472556313,0.0,476.69723472556313
1650499200000,476.69723472556313,0.0,476.69723472556313
1650513600000,476.69723472556313,0.0,476.69723472556313
1650528000000,476.69723472556313,0.0,476.69723472556313
1650542400000,476.69723472556313,0.0,476.69723472556313
1650556800000,476.69723472556313,0.0,476.69723472556313
1650571200000,476.69723472556313,0.0,476.69723472556313
1650585600000,476.69723472556313,0.0,476.69723472556313
1650600000000,476.69723472556313,0.0,476.69723472556313
1650614400000,476.69723472556313,0.0,476.69723472556313
1650628800000,476.69723472556313,0.0,476.69723472556313
1650643200000,476.69723472556313,0.0,476.69723472556313
1650657600000,476.69723472556313,-0.7314521860356851,475.9657825395274
1650672000000,476.69723472556313,0.696191489301609,477.39342621486475
1650686400000,476.69723472556313,-0.45213059738272654,476.2451041281804
1650700800000,476.69723472556313,-0.8905761863769976,475.8066585391861
1650715200000,476.69723472556313,-2.770744607038847,473.92649011852427
1650729600000,476.69723472556313,-1.4459531493282014,475.25128157623493
1650744000000,476.69723472556313,2.592203930338175,479.28943865590134
1650758400000,476.69723472556313,-1.578908575302394,475.1183261502607
1650772800000,476.69723472556313,-0.9796790160105464,475.7175557095526
1650787200000,476.69723472556313,0.7616538066933063,477.4588885322564
1650801600000,477.5663395792689,-0.7450775774534504,476.82126200181546
1650816000000,477.5663395792689,-2.6727410498388675,474.89359852943005
1650830400000,477.5663395792689,2.2633106530478644,479.8296502323168
1650844800000,483.5595022104235,2.901654942345675,486.46115715276915
1650859200000,487.58279817864775,6.919788776902213,494.50258695555
1650873600000,492.932517273818,0.0,492.932517273818
1650888000000,492.932517273818,0.0,492.932517273818
1650902400000,492.932517273818,0.0,492.932517273818
1650916800000,492.932517273818,0.0,492.932517273818
1650931200000,492.932517273818,0.0,492.932517273818
1650945600000,492.932517273818,0.0,492.932517273818
1650960000000,492.932517273818,0.0,492.932517273818
1650974400000,492.932517273818,0.0,492.932517273818
1650988800000,492.932517273818,0.0,492.932517273818
1651003200000,492.932517273818,0.0,492.932517273818
1651017600000,492.932517273818,0.0,492.932517273818
1651032000000,492.932517273818,0.0,492.932517273818
1651046400000,492.932517273818,0.0,492.932517273818
1651060800000,492.932517273818,0.0,492.932517273818
1651075200000,492.932517273818,0.0,492.932517273818
1651089600000,492.932517273818,0.0,492.932517273818
1651104000000,492.932517273818,0.0,492.932517273818
1651118400000,492.932517273818,0.0,492.932517273818
1651132800000,492.932517273818,0.0,492.932517273818
1651147200000,492.932517273818,0.0,492.932517273818
1651161600000,492.932517273818,0.0,492.932517273818
1651176000000,492.932517273818,0.0,492.932517273818
1651190400000,492.932517273818,0.0,492.932517273818
