symbol,side,entry_time_ms,exit_time_ms,entry_price,exit_price,quantity,pnl,pnl_pct,reason,leverage,leverage_tier,partials_json
ETHUSDT,short,1632182400000,1632182400000,2979.25,2843.015,0.0257541790448189,3.426149371779896,4.572795166568771,TRAILING_STOP,5.0,major,"[{""fill_price"":2919.665,""level"":0.02,""pnl"":1.4806181797871865,""qty"":0.026279774535529488,""size"":0.3,""time_ms"":1632182400000},{""fill_price"":2889.8725,""level"":0.03,""pnl"":1.5847922858162615,""qty"":0.01839584217487064,""size"":0.3,""time_ms"":1632182400000},{""fill_price"":2830.2875,""level"":0.05,""pnl"":2.5027439786969423,""qty"":0.017169452696545934,""size"":0.4,""time_ms"":1632182400000}]"
ETHUSDT,short,1632196800000,1632211200000,2998.2,3073.1549999999997,0.08869371172535395,-6.944207217957656,-2.499999999999998,stop_loss,5.0,major,[]
BTCUSDT,short,1632196800000,1632254400000,42653.0,42122.49999999999,0.004364172286743472,2.1117072098852923,1.24375776615949,TRAILING_STOP,5.0,major,"[{""fill_price"":41799.94,""level"":0.02,""pnl"":1.5086523693318306,""qty"":0.0018703595514614883,""size"":0.3,""time_ms"":1632240000000}]"
BTCUSDT,short,1632268800000,1632268800000,40724.5,41742.612499999996,0.00648492630287592,-6.896520761372145,-2.4999999999999893,stop_loss,5.0,major,[]
ETHUSDT,short,1632268800000,1632268800000,2764.15,2833.25375,0.04777153577437375,-3.448260380686075,-2.4999999999999916,stop_loss,5.0,major,[]
ETHUSDT,short,1632657600000,1632657600000,2972.3,3046.6075,0.08694008349962296,-6.748106630992802,-2.4999999999999964,stop_loss,5.0,major,[]
BTCUSDT,short,1632657600000,1632700800000,43047.0,44123.174999999996,0.006003020191556422,-6.748106630992785,-2.49999999999999,stop_loss,5.0,major,[]
BTCUSDT,short,1632945600000,1632960000000,41189.5,42219.237499999996,0.006093719469788677,-6.554479648731324,-2.4999999999999893,stop_loss,5.0,major,[]
ETHUSDT,long,1633176000000,1633204800000,3295.0,3414.94575,0.022074203449999483,2.566242699269595,3.6402352048558377,TRAILING_STOP,5.0,major,"[{""fill_price"":3360.9,""level"":0.02,""pnl"":1.4019203851493875,""qty"":0.02252469739795866,""size"":0.3,""time_ms"":1633176000000},{""fill_price"":3393.85,""level"":0.03,""pnl"":1.5005906724084688,""qty"":0.01576728817857106,""size"":0.3,""time_ms"":1633176000000},{""fill_price"":3459.75,""level"":0.05,""pnl"":2.3698112461485192,""qty"":0.014716135633332988,""size"":0.4,""time_ms"":1633190400000}]"
BTCUSDT,long,1633219200000,1633291200000,47650.0,48616.645,0.0025883386527867248,2.3649607439978366,2.0286358866736554,TRAILING_STOP,5.0,major,"[{""fill_price"":48603.0,""level"":0.02,""pnl"":1.4263238497439228,""qty"":0.001584697134359219,""size"":0.3,""time_ms"":1633276800000},{""fill_price"":49079.5,""level"":0.03,""pnl"":1.5267117073352225,""qty"":0.0011092879940514534,""size"":0.3,""time_ms"":1633276800000}]"
ETHUSDT,long,1633248000000,1633291200000,3393.05,3437.453,0.05192729541911824,2.110648447566901,1.3086456138282605,TRAILING_STOP,5.0,major,"[{""fill_price"":3460.911,""level"":0.02,""pnl"":1.42632384974392,""qty"":0.0222545551796221,""size"":0.3,""time_ms"":1633276800000}]"
BTCUSDT,long,1633435200000,1633478400000,49847.0,51129.38,0.0025220800807894544,3.094196269857249,2.572632254699375,TRAILING_STOP,5.0,major,"[{""fill_price"":50843.94,""level"":0.02,""pnl"":1.4538916395874062,""qty"":0.0015441306617078293,""size"":0.3,""time_ms"":1633449600000},{""fill_price"":51342.41,""level"":0.03,""pnl"":1.5562197797880244,""qty"":0.0010808914631954805,""size"":0.3,""time_ms"":1633449600000}]"
